Executive Summary : OB2 & HOR,,,,,,,,
,,,,,,,,
Sales and Target HORMONE (OB2 + HOR)  เดือน เม.ย. 2569   ข้อมูล ณ วันที่ 08.04.2026,,,,,,,,
,,,,,,,,
Team,SUP_CODE,TARGET,SALES,%Ach,Outlet Target,Outlet (Active),%Ach,
OTB ,OB2,"8,438,230","1,776,718",21%,543,95,17%,
HOR,HU1-HU3,"11,355,000","1,750,283",15%,"1,135",141,12%,
Grand Total,,"19,793,230","3,527,000",18%,"1,678",236,14%,
,,,,,,,,
Note : ผู้แทนออกทริป วันที่ 4 เม.ย. 2569,,,,,,,,
,,,,,,,,
,,,,,,,,
Sales and Target HORMONE (OB2 )  เดือน เม.ย. 2569   ข้อมูล ณ วันที่ 08.04.2026,,,,,,,,
,,,,,,,,
SM_CODE,SUP_CODE,SALES_CODE,TARGET,SALES,%Ach,Outlet Target,Outlet (Active),%Ach
OTB,OB2,OB21,"554,705","44,081",8%,85,12,14%
,OB2,OB22,"582,065","162,972",28%,85,12,14%
,OB2,OB23,"651,415","93,156",14%,85,14,16%
,OB2,OB24,"683,000","200,331",29%,85,14,16%
,OB2,OB25,"420,470","31,563",8%,85,9,11%
,OB2,OB26,"522,025","72,404",14%,85,16,19%
,OB2,OB28,"2,451,950","426,056",17%,16,7,44%
,OB2,OB29,"2,572,600","746,155",29%,17,11,65%
Grand Total,,,"8,438,230","1,776,718",21%,543,95,17%
,,,,,,,,
Note : ผู้แทนออกทริป วันที่ 4 เม.ย. 2569,,,,,,,,
,,,,,,,,
,,,,,,,,
Sales and Target HORMONE (HOR )  เดือน เม.ย. 2569   ข้อมูล ณ วันที่ 08.04.2026,,,,,,,,
,,,,,,,,
SM_CODE,SUP_CODE,SALES_CODE,TARGET,SALES,%Ach,Outlet Target,Outlet (Active),%Ach
HOR,HU1,HC13,"833,000","102,456",12%,85,11,13%
,HU1,HN11,"1,107,000","131,513",12%,110,18,16%
,HU1,HN12,"730,000","48,572",7%,120,14,12%
,HU2,HC11,"1,627,000","276,201",17%,105,31,30%
,HU2,HC12,"774,000","107,469",14%,95,13,14%
,HU2,HE11,"1,248,000","395,723",32%,145,9,6%
,HU2,HE12,"1,430,000","156,352",11%,130,10,8%
,HU3,HC14,"1,500,000","391,372",26%,110,14,13%
,HU3,HS11,"787,000","116,549",15%,110,13,12%
,HU3,HS12,"1,319,000","24,076",2%,125,8,6%
Grand Total,,,"11,355,000","1,750,283",15%,"1,135",141,12%
,,,,,,,,
Note : ผู้แทนออกทริป วันที่ 4 เม.ย. 2569,,,,,,,,
