SM_CODE_NEW,SUP,SALES_CODE,LINE_NEW,Year,Quarter,Month,Group_Sales,PRD Type,PRODUCT_NAME_NEW,item Code,item Name,Sales
OTB,OB2,OB21,LINE2,2026,Q1,1,Existing Products,Other Product,CAZOSIN,1-CA046,CAZOSIN 4MG.(Blister)  1X10X10'S,"1,121.50"
OTB,OB2,OB21,LINE2,2026,Q1,1,Existing Products,Other Product,CYSTALINE,1-CY001,CYSTALINE  1x10'S,"83,364.50"
OTB,OB2,OB21,LINE2,2026,Q1,1,Existing Products,Other Product,CYSTALINE,1-CY007,Cystaline Effervescent Tablet (Strip) 1x5x4's,"6,462.62"
OTB,OB2,OB21,LINE2,2026,Q1,1,Existing Products,Other Product,DENOX,9-DE001,DENOX 1X10 ML (0.05%),224.3
OTB,OB2,OB21,LINE2,2026,Q1,1,Existing Products,Other Product,DENOX,9-DE002,DENOX 1X10 ML (0.1%),560.75
OTB,OB2,OB21,LINE2,2026,Q1,1,Existing Products,Other Product,EZB-10,1-EZ001,EZB-10 1X3X10'S,"3,348.19"
OTB,OB2,OB21,LINE2,2026,Q1,1,Existing Products,Other Product,FLOXY EAR DROPS,BFS-1-FL003,FLOXY EAR DROPS(BFS) 1X5 ML,"10,420.56"
OTB,OB2,OB21,LINE2,2026,Q1,1,Existing Products,Other Product,K-ZUVA,1-KZ001,K-ZUVA 20 1X3X10'S,560.75
OTB,OB2,OB21,LINE2,2026,Q1,1,Existing Products,Other Product,K-ZUVA,1-KZ002,K-ZUVA  10 1X3X10'S,"4,233.64"
OTB,OB2,OB21,LINE2,2026,Q1,1,Existing Products,Other Product,METFOR,1-ME002,METFOR-500 1X10X10'S,"3,528.03"
OTB,OB2,OB21,LINE2,2026,Q1,1,Existing Products,Other Product,METFOR,1-ME029,METFOR-850 1X10X10'S,"1,121.50"
OTB,OB2,OB21,LINE2,2026,Q1,1,Existing Products,Other Product,MEXY SYRUP,2-ME004,MEXY SYRUP 1X60 ML (กล่องรูปเด็ก),"3,738.32"
OTB,OB2,OB21,LINE2,2026,Q1,1,Existing Products,Other Product,MILLIOPH,BFS-1-MI011,MILLIOPH EYEDROP 5 ml 1X5 ml,"3,084.11"
OTB,OB2,OB21,LINE2,2026,Q1,1,Existing Products,Other Product,MILLIOPH,BFS-1-MI012,MILLIOPH EYEDROP 10 ml 1X10 ml,"6,910.28"
OTB,OB2,OB21,LINE2,2026,Q1,1,Existing Products,Other Product,MILTEAR,BFS-1-MI005,MILTEAR 1X30X1 ML,"8,495.31"
OTB,OB2,OB21,LINE2,2026,Q1,1,Existing Products,Other Product,MILTEAR,BFS-1-MI015,MILTEAR MD 1X10 ML,"74,641.12"
OTB,OB2,OB21,LINE2,2026,Q1,1,Existing Products,Other Product,MINOZ,1-MI011,MINOZ 28 1X28'S,"28,497.20"
OTB,OB2,OB21,LINE2,2026,Q1,1,Existing Products,Other Product,MONKAST,1-MO006,MONKAST-5 1X2X14'S,"1,523.37"
OTB,OB2,OB21,LINE2,2026,Q1,1,Existing Products,Other Product,NEUMANTINE/MEMO,1-NE013,Neumantine  1x2x14's  (Box),"14,018.69"
OTB,OB2,OB21,LINE2,2026,Q1,1,Existing Products,Product Push,AVAFAST,1-AV001,AVAFAST-180 1X10'S,"37,392.53"
OTB,OB2,OB21,LINE2,2026,Q1,1,Existing Products,Product Push,AVAFAST,1-AV003,AVAFAST-60 1X10'S,"15,271.02"
OTB,OB2,OB21,LINE2,2026,Q1,1,Existing Products,Product Push,FINASCAR,1-FI001,FINASCAR 5 MG.(Blister Unit dose) 1X3X10S,411.21
OTB,OB2,OB21,LINE2,2026,Q1,1,Existing Products,Product Push,FINASCIA,1-FI002,FINASCIA   1X3X10S,"2,616.82"
OTB,OB2,OB21,LINE2,2026,Q1,1,Existing Products,Product Push,MAPLE FORTE,1-MA008,MAPLE FORTE 1X12X1'S(BOX),"38,667.30"
OTB,OB2,OB21,LINE2,2026,Q1,1,Existing Products,Product Push,MCXY COLD,1-MC022,MCXY-COLD  1x12x10S,"17,360.75"
OTB,OB2,OB21,LINE2,2026,Q1,1,Existing Products,Product Push,ONJEL,1-ON004,ONJEL 20 1X28'S,"71,551.40"
OTB,OB2,OB21,LINE2,2026,Q1,1,Existing Products,Product Push,SALDA  INHALE,BFS-5-SA001,SALDA  INHALE 2.5 ML 1X20X2.5 ML,"46,168.23"
OTB,OB2,OB21,LINE2,2026,Q1,1,Existing Products,Product Push,TRANCELTEAR,BFS-1-TR001,TRANCELTEAR 0.8 mL 1x30x0.8 mL,"20,046.74"
OTB,OB2,OB21,LINE2,2026,Q1,1,Existing Products,Product Push,TRANCELTEAR,BFS-1-TR002,TRANCELTEAR  0.8 mL 1 x 10 x 0.8 mL,"5,705.77"
OTB,OB2,OB21,LINE2,2026,Q1,1,New Product,New Product,MONAS,1-MO007,MONAS 1x21S,"5,593.47"
OTB,OB2,OB21,LINE2,2026,Q1,1,New Product,New Product,ZEROTAN,1-ZE001,ZEROTAN 1X2S,"3,364.49"
OTB,OB2,OB21,LINE2,2026,Q1,1,New Product,New Product,ZOMOXIN EYE DROPS,BFS-1-ZO001,ZOMOXIN EYE DROPS 1X5 ML,"1,682.24"
